date,deaths
2022-05-27,7
2022-05-26,10
2022-05-25,5
2022-05-24,7
2022-05-23,9
2022-05-22,7
2022-05-21,4
2022-05-20,7
2022-05-19,10
2022-05-18,8
2022-05-17,9
2022-05-16,7
2022-05-15,9
2022-05-14,7
2022-05-13,11
2022-05-12,13
2022-05-11,14
2022-05-10,17
2022-05-09,18
2022-05-08,10
2022-05-07,12
2022-05-06,11
2022-05-05,13
2022-05-04,14
2022-05-03,16
2022-05-02,16
2022-05-01,16
2022-04-30,27
2022-04-29,16
2022-04-28,23
2022-04-27,26
2022-04-26,23
2022-04-25,18
2022-04-24,14
2022-04-23,20
2022-04-22,28
2022-04-21,16
2022-04-20,22
2022-04-19,22
2022-04-18,27
2022-04-17,29
2022-04-16,23
2022-04-15,21
2022-04-14,19
2022-04-13,24
2022-04-12,32
2022-04-11,22
2022-04-10,23
2022-04-09,25
2022-04-08,31
2022-04-07,28
2022-04-06,29
2022-04-05,24
2022-04-04,26
2022-04-03,25
2022-04-02,26
2022-04-01,18
2022-03-31,21
2022-03-30,26
2022-03-29,27
2022-03-28,24
2022-03-27,13
2022-03-26,19
2022-03-25,28
2022-03-24,17
2022-03-23,24
2022-03-22,21
2022-03-21,27
2022-03-20,20
2022-03-19,13
2022-03-18,18
2022-03-17,23
2022-03-16,14
2022-03-15,20
2022-03-14,25
2022-03-13,25
2022-03-12,9
2022-03-11,14
2022-03-10,13
2022-03-09,11
2022-03-08,20
2022-03-07,8
2022-03-06,13
2022-03-05,12
2022-03-04,14
2022-03-03,14
2022-03-02,12
2022-03-01,17
2022-02-28,10
2022-02-27,16
2022-02-26,10
2022-02-25,17
2022-02-24,16
2022-02-23,11
2022-02-22,17
2022-02-21,21
2022-02-20,16
2022-02-19,10
2022-02-18,16
2022-02-17,10
2022-02-16,27
2022-02-15,17
2022-02-14,21
2022-02-13,22
2022-02-12,21
2022-02-11,26
2022-02-10,18
2022-02-09,19
2022-02-08,20
2022-02-07,23
2022-02-06,24
2022-02-05,27
2022-02-04,30
2022-02-03,33
2022-02-02,36
2022-02-01,27
2022-01-31,39
2022-01-30,29
2022-01-29,33
2022-01-28,25
2022-01-27,40
2022-01-26,35
2022-01-25,40
2022-01-24,37
2022-01-23,27
2022-01-22,35
2022-01-21,37
2022-01-20,34
2022-01-19,28
2022-01-18,31
2022-01-17,38
2022-01-16,35
2022-01-15,47
2022-01-14,47
2022-01-13,32
2022-01-12,37
2022-01-11,37
2022-01-10,44
2022-01-09,42
2022-01-08,43
2022-01-07,29
2022-01-06,38
2022-01-05,51
2022-01-04,42
2022-01-03,27
2022-01-02,28
2022-01-01,30
2021-12-31,28
2021-12-30,36
2021-12-29,20
2021-12-28,36
2021-12-27,32
2021-12-26,34
2021-12-25,26
2021-12-24,28
2021-12-23,30
2021-12-22,30
2021-12-21,29
2021-12-20,22
2021-12-19,26
2021-12-18,20
2021-12-17,28
2021-12-16,28
2021-12-15,37
2021-12-14,30
2021-12-13,22
2021-12-12,20
2021-12-11,12
2021-12-10,30
2021-12-09,22
2021-12-08,23
2021-12-07,20
2021-12-06,32
2021-12-05,21
2021-12-04,21
2021-12-03,26
2021-12-02,14
2021-12-01,17
2021-11-30,20
2021-11-29,36
2021-11-28,32
2021-11-27,16
2021-11-26,26
2021-11-25,22
2021-11-24,25
2021-11-23,34
2021-11-22,26
2021-11-21,25
2021-11-20,20
2021-11-19,17
2021-11-18,25
2021-11-17,20
2021-11-16,29
2021-11-15,32
2021-11-14,24
2021-11-13,22
2021-11-12,29
2021-11-11,28
2021-11-10,29
2021-11-09,31
2021-11-08,27
2021-11-07,33
2021-11-06,25
2021-11-05,26
2021-11-04,30
2021-11-03,25
2021-11-02,32
2021-11-01,25
2021-10-31,35
2021-10-30,26
2021-10-29,24
2021-10-28,34
2021-10-27,31
2021-10-26,29
2021-10-25,27
2021-10-24,33
2021-10-23,24
2021-10-22,17
2021-10-21,24
2021-10-20,27
2021-10-19,18
2021-10-18,18
2021-10-17,21
2021-10-16,23
2021-10-15,19
2021-10-14,18
2021-10-13,14
2021-10-12,14
2021-10-11,17
2021-10-10,14
2021-10-09,17
2021-10-08,15
2021-10-07,13
2021-10-06,13
2021-10-05,13
2021-10-04,13
2021-10-03,17
2021-10-02,18
2021-10-01,20
2021-09-30,16
2021-09-29,23
2021-09-28,15
2021-09-27,20
2021-09-26,15
2021-09-25,19
2021-09-24,20
2021-09-23,24
2021-09-22,26
2021-09-21,20
2021-09-20,22
2021-09-19,20
2021-09-18,25
2021-09-17,26
2021-09-16,22
2021-09-15,26
2021-09-14,27
2021-09-13,12
2021-09-12,24
2021-09-11,15
2021-09-10,23
2021-09-09,25
2021-09-08,30
2021-09-07,23
2021-09-06,24
2021-09-05,24
2021-09-04,21
2021-09-03,31
2021-09-02,21
2021-09-01,19
2021-08-31,16
2021-08-30,20
2021-08-29,23
2021-08-28,22
2021-08-27,29
2021-08-26,26
2021-08-25,14
2021-08-24,21
2021-08-23,19
2021-08-22,29
2021-08-21,15
2021-08-20,29
2021-08-19,19
2021-08-18,18
2021-08-17,20
2021-08-16,17
2021-08-15,20
2021-08-14,15
2021-08-13,16
2021-08-12,30
2021-08-11,21
2021-08-10,12
2021-08-09,19
2021-08-08,11
2021-08-07,21
2021-08-06,23
2021-08-05,27
2021-08-04,26
2021-08-03,19
2021-08-02,23
2021-08-01,21
2021-07-31,13
2021-07-30,25
2021-07-29,22
2021-07-28,12
2021-07-27,12
2021-07-26,14
2021-07-25,21
2021-07-24,24
2021-07-23,19
2021-07-22,21
2021-07-21,7
2021-07-20,10
2021-07-19,19
2021-07-18,17
2021-07-17,7
2021-07-16,10
2021-07-15,10
2021-07-14,8
2021-07-13,9
2021-07-12,8
2021-07-11,6
2021-07-10,11
2021-07-09,8
2021-07-08,6
2021-07-07,8
2021-07-06,5
2021-07-05,4
2021-07-04,4
2021-07-03,6
2021-07-02,5
2021-07-01,4
2021-06-30,4
2021-06-29,4
2021-06-28,3
2021-06-27,5
2021-06-26,1
2021-06-25,3
2021-06-24,5
2021-06-23,2
2021-06-22,3
2021-06-21,3
2021-06-20,8
2021-06-19,5
2021-06-18,5
2021-06-17,0
2021-06-16,6
2021-06-15,5
2021-06-14,3
2021-06-13,1
2021-06-12,2
2021-06-11,0
2021-06-10,3
2021-06-09,1
2021-06-08,2
2021-06-07,1
2021-06-06,1
2021-06-05,0
2021-06-04,5
2021-06-03,1
2021-06-02,3
2021-06-01,1
2021-05-31,4
2021-05-30,2
2021-05-29,1
2021-05-28,5
2021-05-27,1
2021-05-26,7
2021-05-25,2
2021-05-24,4
2021-05-23,1
2021-05-22,0
2021-05-21,4
2021-05-20,1
2021-05-19,0
2021-05-18,1
2021-05-17,0
2021-05-16,2
2021-05-15,4
2021-05-14,0
2021-05-13,4
2021-05-12,4
2021-05-11,1
2021-05-10,2
2021-05-09,5
2021-05-08,1
2021-05-07,3
2021-05-06,1
2021-05-05,0
2021-05-04,2
2021-05-03,2
2021-05-02,2
2021-05-01,2
2021-04-30,5
2021-04-29,5
2021-04-28,2
2021-04-27,3
2021-04-26,3
2021-04-25,2
2021-04-24,1
2021-04-23,7
2021-04-22,5
2021-04-21,4
2021-04-20,5
2021-04-19,4
2021-04-18,2
2021-04-17,5
2021-04-16,2
2021-04-15,1
2021-04-14,2
2021-04-13,4
2021-04-12,4
2021-04-11,6
2021-04-10,6
2021-04-09,1
2021-04-08,6
2021-04-07,4
2021-04-06,6
2021-04-05,4
2021-04-04,4
2021-04-03,3
2021-04-02,5
2021-04-01,7
2021-03-31,8
2021-03-30,10
2021-03-29,4
2021-03-28,10
2021-03-27,10
2021-03-26,9
2021-03-25,10
2021-03-24,5
2021-03-23,12
2021-03-22,19
2021-03-21,12
2021-03-20,21
2021-03-19,9
2021-03-18,12
2021-03-17,14
2021-03-16,7
2021-03-15,19
2021-03-14,20
2021-03-13,22
2021-03-12,24
2021-03-11,19
2021-03-10,24
2021-03-09,25
2021-03-08,31
2021-03-07,29
2021-03-06,27
2021-03-05,26
2021-03-04,30
2021-03-03,27
2021-03-02,35
2021-03-01,49
2021-02-28,44
2021-02-27,53
2021-02-26,42
2021-02-25,42
2021-02-24,40
2021-02-23,64
2021-02-22,57
2021-02-21,60
2021-02-20,57
2021-02-19,65
2021-02-18,71
2021-02-17,82
2021-02-16,67
2021-02-15,89
2021-02-14,77
2021-02-13,75
2021-02-12,82
2021-02-11,84
2021-02-10,105
2021-02-09,98
2021-02-08,106
2021-02-07,106
2021-02-06,108
2021-02-05,114
2021-02-04,104
2021-02-03,124
2021-02-02,121
2021-02-01,123
2021-01-31,124
2021-01-30,110
2021-01-29,142
2021-01-28,155
2021-01-27,159
2021-01-26,149
2021-01-25,164
2021-01-24,162
2021-01-23,147
2021-01-22,186
2021-01-21,177
2021-01-20,184
2021-01-19,165
2021-01-18,197
2021-01-17,158
2021-01-16,172
2021-01-15,172
2021-01-14,163
2021-01-13,192
2021-01-12,146
2021-01-11,145
2021-01-10,142
2021-01-09,157
2021-01-08,159
2021-01-07,127
2021-01-06,124
2021-01-05,143
2021-01-04,130
2021-01-03,94
2021-01-02,87
2021-01-01,100
2020-12-31,109
2020-12-30,91
2020-12-29,84
2020-12-28,74
2020-12-27,86
2020-12-26,75
2020-12-25,71
2020-12-24,72
2020-12-23,60
2020-12-22,64
2020-12-21,56
2020-12-20,54
2020-12-19,57
2020-12-18,49
2020-12-17,55
2020-12-16,45
2020-12-15,53
2020-12-14,63
2020-12-13,39
2020-12-12,34
2020-12-11,58
2020-12-10,51
2020-12-09,50
2020-12-08,52
2020-12-07,36
2020-12-06,59
2020-12-05,56
2020-12-04,36
2020-12-03,62
2020-12-02,32
2020-12-01,47
2020-11-30,51
2020-11-29,58
2020-11-28,57
2020-11-27,49
2020-11-26,56
2020-11-25,63
2020-11-24,60
2020-11-23,48
2020-11-22,52
2020-11-21,46
2020-11-20,55
2020-11-19,57
2020-11-18,55
2020-11-17,43
2020-11-16,41
2020-11-15,42
2020-11-14,40
2020-11-13,54
2020-11-12,44
2020-11-11,42
2020-11-10,40
2020-11-09,62
2020-11-08,46
2020-11-07,55
2020-11-06,50
2020-11-05,43
2020-11-04,37
2020-11-03,31
2020-11-02,28
2020-11-01,41
2020-10-31,41
2020-10-30,39
2020-10-29,24
2020-10-28,36
2020-10-27,29
2020-10-26,35
2020-10-25,32
2020-10-24,23
2020-10-23,26
2020-10-22,22
2020-10-21,23
2020-10-20,23
2020-10-19,26
2020-10-18,17
2020-10-17,28
2020-10-16,18
2020-10-15,18
2020-10-14,14
2020-10-13,12
2020-10-12,22
2020-10-11,15
2020-10-10,9
2020-10-09,9
2020-10-08,9
2020-10-07,12
2020-10-06,11
2020-10-05,6
2020-10-04,6
2020-10-03,10
2020-10-02,10
2020-10-01,8
2020-09-30,5
2020-09-29,2
2020-09-28,5
2020-09-27,9
2020-09-26,3
2020-09-25,4
2020-09-24,3
2020-09-23,10
2020-09-22,10
2020-09-21,2
2020-09-20,3
2020-09-19,2
2020-09-18,4
2020-09-17,3
2020-09-16,3
2020-09-15,1
2020-09-14,2
2020-09-13,1
2020-09-12,3
2020-09-11,2
2020-09-10,0
2020-09-09,1
2020-09-08,4
2020-09-07,4
2020-09-06,1
2020-09-05,1
2020-09-04,0
2020-09-03,2
2020-09-02,3
2020-09-01,0
2020-08-31,1
2020-08-30,2
2020-08-29,1
2020-08-28,2
2020-08-27,1
2020-08-26,2
2020-08-25,4
2020-08-24,2
2020-08-23,1
2020-08-22,3
2020-08-21,1
2020-08-20,2
2020-08-19,0
2020-08-18,3
2020-08-17,0
2020-08-16,2
2020-08-15,2
2020-08-14,1
2020-08-13,1
2020-08-12,0
2020-08-11,0
2020-08-10,1
2020-08-09,3
2020-08-08,2
2020-08-07,2
2020-08-06,2
2020-08-05,0
2020-08-04,2
2020-08-03,5
2020-08-02,2
2020-08-01,4
2020-07-31,0
2020-07-30,2
2020-07-29,1
2020-07-28,2
2020-07-27,4
2020-07-26,2
2020-07-25,3
2020-07-24,2
2020-07-23,4
2020-07-22,1
2020-07-21,3
2020-07-20,1
2020-07-19,5
2020-07-18,3
2020-07-17,2
2020-07-16,1
2020-07-15,2
2020-07-14,1
2020-07-13,2
2020-07-12,2
2020-07-11,4
2020-07-10,4
2020-07-09,4
2020-07-08,4
2020-07-07,4
2020-07-06,4
2020-07-05,5
2020-07-04,5
2020-07-03,2
2020-07-02,6
2020-07-01,2
2020-06-30,7
2020-06-29,6
2020-06-28,4
2020-06-27,3
2020-06-26,6
2020-06-25,5
2020-06-24,8
2020-06-23,10
2020-06-22,5
2020-06-21,6
2020-06-20,4
2020-06-19,3
2020-06-18,10
2020-06-17,5
2020-06-16,10
2020-06-15,10
2020-06-14,7
2020-06-13,3
2020-06-12,4
2020-06-11,7
2020-06-10,10
2020-06-09,11
2020-06-08,11
2020-06-07,12
2020-06-06,13
2020-06-05,14
2020-06-04,12
2020-06-03,18
2020-06-02,22
2020-06-01,9
2020-05-31,12
2020-05-30,8
2020-05-29,18
2020-05-28,12
2020-05-27,20
2020-05-26,18
2020-05-25,23
2020-05-24,18
2020-05-23,20
2020-05-22,21
2020-05-21,18
2020-05-20,22
2020-05-19,23
2020-05-18,24
2020-05-17,16
2020-05-16,26
2020-05-15,32
2020-05-14,26
2020-05-13,19
2020-05-12,38
2020-05-11,34
2020-05-10,33
2020-05-09,26
2020-05-08,38
2020-05-07,43
2020-05-06,60
2020-05-05,50
2020-05-04,41
2020-05-03,32
2020-05-02,47
2020-05-01,63
2020-04-30,69
2020-04-29,70
2020-04-28,64
2020-04-27,76
2020-04-26,65
2020-04-25,76
2020-04-24,80
2020-04-23,91
2020-04-22,116
2020-04-21,112
2020-04-20,113
2020-04-19,115
2020-04-18,102
2020-04-17,136
2020-04-16,133
2020-04-15,151
2020-04-14,150
2020-04-13,168
2020-04-12,152
2020-04-11,157
2020-04-10,160
2020-04-09,171
2020-04-08,181
2020-04-07,168
2020-04-06,158
2020-04-05,160
2020-04-04,158
2020-04-03,129
2020-04-02,140
2020-04-01,124
2020-03-31,100
2020-03-30,93
2020-03-29,92
2020-03-28,65
2020-03-27,67
2020-03-26,63
2020-03-25,47
2020-03-24,40
2020-03-23,28
2020-03-22,31
2020-03-21,19
2020-03-20,18
2020-03-19,16
2020-03-18,9
2020-03-17,10
2020-03-16,6
2020-03-15,7
2020-03-14,4
2020-03-13,3
2020-03-12,2
2020-03-11,2
2020-03-10,0
2020-03-09,1
2020-03-08,1
2020-03-07,0
2020-03-06,0
2020-03-05,1
2020-03-04,0
2020-03-03,0
2020-03-02,0
