areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000004,East Midlands,region,2022-06-05,421
E12000004,East Midlands,region,2022-06-04,447
E12000004,East Midlands,region,2022-06-03,398
E12000004,East Midlands,region,2022-06-02,365
E12000004,East Midlands,region,2022-06-01,379
E12000004,East Midlands,region,2022-05-31,360
E12000004,East Midlands,region,2022-05-30,433
E12000004,East Midlands,region,2022-05-29,352
E12000004,East Midlands,region,2022-05-28,263
E12000004,East Midlands,region,2022-05-27,323
E12000004,East Midlands,region,2022-05-26,355
E12000004,East Midlands,region,2022-05-25,396
E12000004,East Midlands,region,2022-05-24,436
E12000004,East Midlands,region,2022-05-23,449
E12000004,East Midlands,region,2022-05-22,381
E12000004,East Midlands,region,2022-05-21,324
E12000004,East Midlands,region,2022-05-20,364
E12000004,East Midlands,region,2022-05-19,430
E12000004,East Midlands,region,2022-05-18,499
E12000004,East Midlands,region,2022-05-17,554
E12000004,East Midlands,region,2022-05-16,601
E12000004,East Midlands,region,2022-05-15,557
E12000004,East Midlands,region,2022-05-14,407
E12000004,East Midlands,region,2022-05-13,462
E12000004,East Midlands,region,2022-05-12,487
E12000004,East Midlands,region,2022-05-11,612
E12000004,East Midlands,region,2022-05-10,659
E12000004,East Midlands,region,2022-05-09,742
E12000004,East Midlands,region,2022-05-08,669
E12000004,East Midlands,region,2022-05-07,550
E12000004,East Midlands,region,2022-05-06,589
E12000004,East Midlands,region,2022-05-05,752
E12000004,East Midlands,region,2022-05-04,758
E12000004,East Midlands,region,2022-05-03,969
E12000004,East Midlands,region,2022-05-02,876
E12000004,East Midlands,region,2022-05-01,707
E12000004,East Midlands,region,2022-04-30,591
E12000004,East Midlands,region,2022-04-29,709
E12000004,East Midlands,region,2022-04-28,702
E12000004,East Midlands,region,2022-04-27,906
E12000004,East Midlands,region,2022-04-26,958
E12000004,East Midlands,region,2022-04-25,1102
E12000004,East Midlands,region,2022-04-24,994
E12000004,East Midlands,region,2022-04-23,892
E12000004,East Midlands,region,2022-04-22,1019
E12000004,East Midlands,region,2022-04-21,1212
E12000004,East Midlands,region,2022-04-20,1440
E12000004,East Midlands,region,2022-04-19,1674
E12000004,East Midlands,region,2022-04-18,1806
E12000004,East Midlands,region,2022-04-17,1433
E12000004,East Midlands,region,2022-04-16,1397
E12000004,East Midlands,region,2022-04-15,1508
E12000004,East Midlands,region,2022-04-14,1866
E12000004,East Midlands,region,2022-04-13,2187
E12000004,East Midlands,region,2022-04-12,2389
E12000004,East Midlands,region,2022-04-11,2679
E12000004,East Midlands,region,2022-04-10,2487
E12000004,East Midlands,region,2022-04-09,2035
E12000004,East Midlands,region,2022-04-08,2352
E12000004,East Midlands,region,2022-04-07,2713
E12000004,East Midlands,region,2022-04-06,3090
E12000004,East Midlands,region,2022-04-05,3518
E12000004,East Midlands,region,2022-04-04,3954
E12000004,East Midlands,region,2022-04-03,2956
E12000004,East Midlands,region,2022-04-02,2760
E12000004,East Midlands,region,2022-04-01,3423
E12000004,East Midlands,region,2022-03-31,3696
E12000004,East Midlands,region,2022-03-30,5274
E12000004,East Midlands,region,2022-03-29,5495
E12000004,East Midlands,region,2022-03-28,6616
E12000004,East Midlands,region,2022-03-27,4888
E12000004,East Midlands,region,2022-03-26,4264
E12000004,East Midlands,region,2022-03-25,5060
E12000004,East Midlands,region,2022-03-24,5698
E12000004,East Midlands,region,2022-03-23,6379
E12000004,East Midlands,region,2022-03-22,6389
E12000004,East Midlands,region,2022-03-21,7183
E12000004,East Midlands,region,2022-03-20,5351
E12000004,East Midlands,region,2022-03-19,4320
E12000004,East Midlands,region,2022-03-18,4819
E12000004,East Midlands,region,2022-03-17,5239
E12000004,East Midlands,region,2022-03-16,5842
E12000004,East Midlands,region,2022-03-15,5777
E12000004,East Midlands,region,2022-03-14,6259
E12000004,East Midlands,region,2022-03-13,4728
E12000004,East Midlands,region,2022-03-12,4003
E12000004,East Midlands,region,2022-03-11,4069
E12000004,East Midlands,region,2022-03-10,4269
E12000004,East Midlands,region,2022-03-09,4392
E12000004,East Midlands,region,2022-03-08,4287
E12000004,East Midlands,region,2022-03-07,4036
E12000004,East Midlands,region,2022-03-06,2969
E12000004,East Midlands,region,2022-03-05,2330
E12000004,East Midlands,region,2022-03-04,2383
E12000004,East Midlands,region,2022-03-03,2509
E12000004,East Midlands,region,2022-03-02,2551
E12000004,East Midlands,region,2022-03-01,2549
E12000004,East Midlands,region,2022-02-28,2535
E12000004,East Midlands,region,2022-02-27,1751
E12000004,East Midlands,region,2022-02-26,1336
E12000004,East Midlands,region,2022-02-25,1495
E12000004,East Midlands,region,2022-02-24,1658
E12000004,East Midlands,region,2022-02-23,2121
E12000004,East Midlands,region,2022-02-22,2122
E12000004,East Midlands,region,2022-02-21,2736
E12000004,East Midlands,region,2022-02-20,2412
E12000004,East Midlands,region,2022-02-19,2076
E12000004,East Midlands,region,2022-02-18,2368
E12000004,East Midlands,region,2022-02-17,2694
E12000004,East Midlands,region,2022-02-16,2989
E12000004,East Midlands,region,2022-02-15,2998
E12000004,East Midlands,region,2022-02-14,3221
E12000004,East Midlands,region,2022-02-13,2487
E12000004,East Midlands,region,2022-02-12,2335
E12000004,East Midlands,region,2022-02-11,2703
E12000004,East Midlands,region,2022-02-10,3319
E12000004,East Midlands,region,2022-02-09,4089
E12000004,East Midlands,region,2022-02-08,4510
E12000004,East Midlands,region,2022-02-07,5121
E12000004,East Midlands,region,2022-02-06,4152
E12000004,East Midlands,region,2022-02-05,3418
E12000004,East Midlands,region,2022-02-04,4275
E12000004,East Midlands,region,2022-02-03,5181
E12000004,East Midlands,region,2022-02-02,6212
E12000004,East Midlands,region,2022-02-01,6395
E12000004,East Midlands,region,2022-01-31,7579
E12000004,East Midlands,region,2022-01-30,6354
E12000004,East Midlands,region,2022-01-29,5372
E12000004,East Midlands,region,2022-01-28,6124
E12000004,East Midlands,region,2022-01-27,6878
E12000004,East Midlands,region,2022-01-26,7993
E12000004,East Midlands,region,2022-01-25,7944
E12000004,East Midlands,region,2022-01-24,9287
E12000004,East Midlands,region,2022-01-23,7652
E12000004,East Midlands,region,2022-01-22,5739
E12000004,East Midlands,region,2022-01-21,6628
E12000004,East Midlands,region,2022-01-20,7267
E12000004,East Midlands,region,2022-01-19,8144
E12000004,East Midlands,region,2022-01-18,8857
E12000004,East Midlands,region,2022-01-17,9695
E12000004,East Midlands,region,2022-01-16,7092
E12000004,East Midlands,region,2022-01-15,5568
E12000004,East Midlands,region,2022-01-14,6341
E12000004,East Midlands,region,2022-01-13,6936
E12000004,East Midlands,region,2022-01-12,7363
E12000004,East Midlands,region,2022-01-11,8446
E12000004,East Midlands,region,2022-01-10,9917
E12000004,East Midlands,region,2022-01-09,6928
E12000004,East Midlands,region,2022-01-08,6689
E12000004,East Midlands,region,2022-01-07,8671
E12000004,East Midlands,region,2022-01-06,12618
E12000004,East Midlands,region,2022-01-05,15241
E12000004,East Midlands,region,2022-01-04,20047
E12000004,East Midlands,region,2022-01-03,16469
E12000004,East Midlands,region,2022-01-02,12755
E12000004,East Midlands,region,2022-01-01,8628
E12000004,East Midlands,region,2021-12-31,13107
E12000004,East Midlands,region,2021-12-30,16978
E12000004,East Midlands,region,2021-12-29,19802
E12000004,East Midlands,region,2021-12-28,15140
E12000004,East Midlands,region,2021-12-27,13186
E12000004,East Midlands,region,2021-12-26,8124
E12000004,East Midlands,region,2021-12-25,4969
E12000004,East Midlands,region,2021-12-24,9217
E12000004,East Midlands,region,2021-12-23,10692
E12000004,East Midlands,region,2021-12-22,10437
E12000004,East Midlands,region,2021-12-21,9727
E12000004,East Midlands,region,2021-12-20,8333
E12000004,East Midlands,region,2021-12-19,5614
E12000004,East Midlands,region,2021-12-18,5386
E12000004,East Midlands,region,2021-12-17,5856
E12000004,East Midlands,region,2021-12-16,6595
E12000004,East Midlands,region,2021-12-15,7245
E12000004,East Midlands,region,2021-12-14,6166
E12000004,East Midlands,region,2021-12-13,5477
E12000004,East Midlands,region,2021-12-12,3488
E12000004,East Midlands,region,2021-12-11,3342
E12000004,East Midlands,region,2021-12-10,3543
E12000004,East Midlands,region,2021-12-09,3929
E12000004,East Midlands,region,2021-12-08,4085
E12000004,East Midlands,region,2021-12-07,3925
E12000004,East Midlands,region,2021-12-06,4252
E12000004,East Midlands,region,2021-12-05,3099
E12000004,East Midlands,region,2021-12-04,3021
E12000004,East Midlands,region,2021-12-03,3415
E12000004,East Midlands,region,2021-12-02,3917
E12000004,East Midlands,region,2021-12-01,4122
E12000004,East Midlands,region,2021-11-30,4058
E12000004,East Midlands,region,2021-11-29,4059
E12000004,East Midlands,region,2021-11-28,2880
E12000004,East Midlands,region,2021-11-27,2473
E12000004,East Midlands,region,2021-11-26,2854
E12000004,East Midlands,region,2021-11-25,3203
E12000004,East Midlands,region,2021-11-24,3487
E12000004,East Midlands,region,2021-11-23,3641
E12000004,East Midlands,region,2021-11-22,3822
E12000004,East Midlands,region,2021-11-21,2814
E12000004,East Midlands,region,2021-11-20,2606
E12000004,East Midlands,region,2021-11-19,2994
E12000004,East Midlands,region,2021-11-18,3302
E12000004,East Midlands,region,2021-11-17,3433
E12000004,East Midlands,region,2021-11-16,3599
E12000004,East Midlands,region,2021-11-15,3741
E12000004,East Midlands,region,2021-11-14,2674
E12000004,East Midlands,region,2021-11-13,2418
E12000004,East Midlands,region,2021-11-12,2939
E12000004,East Midlands,region,2021-11-11,3063
E12000004,East Midlands,region,2021-11-10,3308
E12000004,East Midlands,region,2021-11-09,3401
E12000004,East Midlands,region,2021-11-08,3433
E12000004,East Midlands,region,2021-11-07,2408
E12000004,East Midlands,region,2021-11-06,2085
E12000004,East Midlands,region,2021-11-05,2235
E12000004,East Midlands,region,2021-11-04,2440
E12000004,East Midlands,region,2021-11-03,2561
E12000004,East Midlands,region,2021-11-02,2659
E12000004,East Midlands,region,2021-11-01,3257
E12000004,East Midlands,region,2021-10-31,2416
E12000004,East Midlands,region,2021-10-30,2318
E12000004,East Midlands,region,2021-10-29,2794
E12000004,East Midlands,region,2021-10-28,2954
E12000004,East Midlands,region,2021-10-27,3076
E12000004,East Midlands,region,2021-10-26,3108
E12000004,East Midlands,region,2021-10-25,3777
E12000004,East Midlands,region,2021-10-24,2781
E12000004,East Midlands,region,2021-10-23,2825
E12000004,East Midlands,region,2021-10-22,2857
E12000004,East Midlands,region,2021-10-21,3237
E12000004,East Midlands,region,2021-10-20,3618
E12000004,East Midlands,region,2021-10-19,3589
E12000004,East Midlands,region,2021-10-18,3989
E12000004,East Midlands,region,2021-10-17,3086
E12000004,East Midlands,region,2021-10-16,2583
E12000004,East Midlands,region,2021-10-15,3156
E12000004,East Midlands,region,2021-10-14,3652
E12000004,East Midlands,region,2021-10-13,3908
E12000004,East Midlands,region,2021-10-12,4012
E12000004,East Midlands,region,2021-10-11,4606
E12000004,East Midlands,region,2021-10-10,3313
E12000004,East Midlands,region,2021-10-09,2992
E12000004,East Midlands,region,2021-10-08,3327
E12000004,East Midlands,region,2021-10-07,3524
E12000004,East Midlands,region,2021-10-06,3693
E12000004,East Midlands,region,2021-10-05,3717
E12000004,East Midlands,region,2021-10-04,4100
E12000004,East Midlands,region,2021-10-03,3173
E12000004,East Midlands,region,2021-10-02,2459
E12000004,East Midlands,region,2021-10-01,2878
E12000004,East Midlands,region,2021-09-30,3093
E12000004,East Midlands,region,2021-09-29,3301
E12000004,East Midlands,region,2021-09-28,3561
E12000004,East Midlands,region,2021-09-27,3874
E12000004,East Midlands,region,2021-09-26,2641
E12000004,East Midlands,region,2021-09-25,2564
E12000004,East Midlands,region,2021-09-24,2929
E12000004,East Midlands,region,2021-09-23,3208
E12000004,East Midlands,region,2021-09-22,3428
E12000004,East Midlands,region,2021-09-21,3737
E12000004,East Midlands,region,2021-09-20,3830
E12000004,East Midlands,region,2021-09-19,2839
E12000004,East Midlands,region,2021-09-18,2237
E12000004,East Midlands,region,2021-09-17,2325
E12000004,East Midlands,region,2021-09-16,2407
E12000004,East Midlands,region,2021-09-15,2429
E12000004,East Midlands,region,2021-09-14,2488
E12000004,East Midlands,region,2021-09-13,2836
E12000004,East Midlands,region,2021-09-12,2107
E12000004,East Midlands,region,2021-09-11,1768
E12000004,East Midlands,region,2021-09-10,2132
E12000004,East Midlands,region,2021-09-09,2560
E12000004,East Midlands,region,2021-09-08,2685
E12000004,East Midlands,region,2021-09-07,2978
E12000004,East Midlands,region,2021-09-06,3468
E12000004,East Midlands,region,2021-09-05,2411
E12000004,East Midlands,region,2021-09-04,2316
E12000004,East Midlands,region,2021-09-03,2719
E12000004,East Midlands,region,2021-09-02,2836
E12000004,East Midlands,region,2021-09-01,3040
E12000004,East Midlands,region,2021-08-31,3308
E12000004,East Midlands,region,2021-08-30,2471
E12000004,East Midlands,region,2021-08-29,1927
E12000004,East Midlands,region,2021-08-28,1899
E12000004,East Midlands,region,2021-08-27,2425
E12000004,East Midlands,region,2021-08-26,2636
E12000004,East Midlands,region,2021-08-25,2822
E12000004,East Midlands,region,2021-08-24,2759
E12000004,East Midlands,region,2021-08-23,3081
E12000004,East Midlands,region,2021-08-22,2326
E12000004,East Midlands,region,2021-08-21,2345
E12000004,East Midlands,region,2021-08-20,2384
E12000004,East Midlands,region,2021-08-19,2612
E12000004,East Midlands,region,2021-08-18,2874
E12000004,East Midlands,region,2021-08-17,2799
E12000004,East Midlands,region,2021-08-16,3049
E12000004,East Midlands,region,2021-08-15,2130
E12000004,East Midlands,region,2021-08-14,2118
E12000004,East Midlands,region,2021-08-13,2301
E12000004,East Midlands,region,2021-08-12,2765
E12000004,East Midlands,region,2021-08-11,2722
E12000004,East Midlands,region,2021-08-10,2642
E12000004,East Midlands,region,2021-08-09,2783
E12000004,East Midlands,region,2021-08-08,1969
E12000004,East Midlands,region,2021-08-07,1923
E12000004,East Midlands,region,2021-08-06,2446
E12000004,East Midlands,region,2021-08-05,2739
E12000004,East Midlands,region,2021-08-04,2850
E12000004,East Midlands,region,2021-08-03,2666
E12000004,East Midlands,region,2021-08-02,2544
E12000004,East Midlands,region,2021-08-01,1781
E12000004,East Midlands,region,2021-07-31,1857
E12000004,East Midlands,region,2021-07-30,2109
E12000004,East Midlands,region,2021-07-29,2386
E12000004,East Midlands,region,2021-07-28,2628
E12000004,East Midlands,region,2021-07-27,2450
E12000004,East Midlands,region,2021-07-26,2375
E12000004,East Midlands,region,2021-07-25,1720
E12000004,East Midlands,region,2021-07-24,1705
E12000004,East Midlands,region,2021-07-23,1985
E12000004,East Midlands,region,2021-07-22,2267
E12000004,East Midlands,region,2021-07-21,2618
E12000004,East Midlands,region,2021-07-20,2890
E12000004,East Midlands,region,2021-07-19,3700
E12000004,East Midlands,region,2021-07-18,2736
E12000004,East Midlands,region,2021-07-17,2921
E12000004,East Midlands,region,2021-07-16,4181
E12000004,East Midlands,region,2021-07-15,4516
E12000004,East Midlands,region,2021-07-14,4044
E12000004,East Midlands,region,2021-07-13,3495
E12000004,East Midlands,region,2021-07-12,3406
E12000004,East Midlands,region,2021-07-11,2172
E12000004,East Midlands,region,2021-07-10,2022
E12000004,East Midlands,region,2021-07-09,2261
E12000004,East Midlands,region,2021-07-08,2296
E12000004,East Midlands,region,2021-07-07,2515
E12000004,East Midlands,region,2021-07-06,2410
E12000004,East Midlands,region,2021-07-05,2328
E12000004,East Midlands,region,2021-07-04,1676
E12000004,East Midlands,region,2021-07-03,1478
E12000004,East Midlands,region,2021-07-02,1611
E12000004,East Midlands,region,2021-07-01,1698
E12000004,East Midlands,region,2021-06-30,1595
E12000004,East Midlands,region,2021-06-29,1616
E12000004,East Midlands,region,2021-06-28,1588
E12000004,East Midlands,region,2021-06-27,1035
E12000004,East Midlands,region,2021-06-26,918
E12000004,East Midlands,region,2021-06-25,953
E12000004,East Midlands,region,2021-06-24,868
E12000004,East Midlands,region,2021-06-23,894
E12000004,East Midlands,region,2021-06-22,848
E12000004,East Midlands,region,2021-06-21,774
E12000004,East Midlands,region,2021-06-20,489
E12000004,East Midlands,region,2021-06-19,433
E12000004,East Midlands,region,2021-06-18,568
E12000004,East Midlands,region,2021-06-17,523
E12000004,East Midlands,region,2021-06-16,558
E12000004,East Midlands,region,2021-06-15,558
E12000004,East Midlands,region,2021-06-14,499
E12000004,East Midlands,region,2021-06-13,334
E12000004,East Midlands,region,2021-06-12,328
E12000004,East Midlands,region,2021-06-11,361
E12000004,East Midlands,region,2021-06-10,348
E12000004,East Midlands,region,2021-06-09,406
E12000004,East Midlands,region,2021-06-08,382
E12000004,East Midlands,region,2021-06-07,428
E12000004,East Midlands,region,2021-06-06,286
E12000004,East Midlands,region,2021-06-05,221
E12000004,East Midlands,region,2021-06-04,267
E12000004,East Midlands,region,2021-06-03,273
E12000004,East Midlands,region,2021-06-02,276
E12000004,East Midlands,region,2021-06-01,259
E12000004,East Midlands,region,2021-05-31,178
E12000004,East Midlands,region,2021-05-30,161
E12000004,East Midlands,region,2021-05-29,148
E12000004,East Midlands,region,2021-05-28,192
E12000004,East Midlands,region,2021-05-27,195
E12000004,East Midlands,region,2021-05-26,202
E12000004,East Midlands,region,2021-05-25,176
E12000004,East Midlands,region,2021-05-24,206
E12000004,East Midlands,region,2021-05-23,147
E12000004,East Midlands,region,2021-05-22,124
E12000004,East Midlands,region,2021-05-21,132
E12000004,East Midlands,region,2021-05-20,179
E12000004,East Midlands,region,2021-05-19,186
E12000004,East Midlands,region,2021-05-18,138
E12000004,East Midlands,region,2021-05-17,167
E12000004,East Midlands,region,2021-05-16,148
E12000004,East Midlands,region,2021-05-15,110
E12000004,East Midlands,region,2021-05-14,141
E12000004,East Midlands,region,2021-05-13,157
E12000004,East Midlands,region,2021-05-12,149
E12000004,East Midlands,region,2021-05-11,151
E12000004,East Midlands,region,2021-05-10,242
E12000004,East Midlands,region,2021-05-09,216
E12000004,East Midlands,region,2021-05-08,132
E12000004,East Midlands,region,2021-05-07,184
E12000004,East Midlands,region,2021-05-06,260
E12000004,East Midlands,region,2021-05-05,257
E12000004,East Midlands,region,2021-05-04,229
E12000004,East Midlands,region,2021-05-03,189
E12000004,East Midlands,region,2021-05-02,161
E12000004,East Midlands,region,2021-05-01,107
E12000004,East Midlands,region,2021-04-30,110
E12000004,East Midlands,region,2021-04-29,176
E12000004,East Midlands,region,2021-04-28,189
E12000004,East Midlands,region,2021-04-27,165
E12000004,East Midlands,region,2021-04-26,185
E12000004,East Midlands,region,2021-04-25,160
E12000004,East Midlands,region,2021-04-24,117
E12000004,East Midlands,region,2021-04-23,145
E12000004,East Midlands,region,2021-04-22,175
E12000004,East Midlands,region,2021-04-21,206
E12000004,East Midlands,region,2021-04-20,207
E12000004,East Midlands,region,2021-04-19,205
E12000004,East Midlands,region,2021-04-18,221
