areaType,areaName,areaCode,date,newLFDTests,cumLFDTests
region,Yorkshire and The Humber,E12000003,2021-07-19,64593,10271019
region,Yorkshire and The Humber,E12000003,2021-07-18,73503,10206426
region,Yorkshire and The Humber,E12000003,2021-07-17,34874,10132923
region,Yorkshire and The Humber,E12000003,2021-07-16,50647,10098049
region,Yorkshire and The Humber,E12000003,2021-07-15,68970,10047402
region,Yorkshire and The Humber,E12000003,2021-07-14,79760,9978432
region,Yorkshire and The Humber,E12000003,2021-07-13,51744,9898672
region,Yorkshire and The Humber,E12000003,2021-07-12,73762,9846928
region,Yorkshire and The Humber,E12000003,2021-07-11,74365,9773166
region,Yorkshire and The Humber,E12000003,2021-07-10,31467,9698801
region,Yorkshire and The Humber,E12000003,2021-07-09,42887,9667334
region,Yorkshire and The Humber,E12000003,2021-07-08,60820,9624447
region,Yorkshire and The Humber,E12000003,2021-07-07,76580,9563627
region,Yorkshire and The Humber,E12000003,2021-07-06,48351,9487047
region,Yorkshire and The Humber,E12000003,2021-07-05,74512,9438696
region,Yorkshire and The Humber,E12000003,2021-07-04,85440,9364184
region,Yorkshire and The Humber,E12000003,2021-07-03,28480,9278744
region,Yorkshire and The Humber,E12000003,2021-07-02,42110,9250264
region,Yorkshire and The Humber,E12000003,2021-07-01,63011,9208154
region,Yorkshire and The Humber,E12000003,2021-06-30,79067,9145143
region,Yorkshire and The Humber,E12000003,2021-06-29,44020,9066076
region,Yorkshire and The Humber,E12000003,2021-06-28,74144,9022056
region,Yorkshire and The Humber,E12000003,2021-06-27,86476,8947912
region,Yorkshire and The Humber,E12000003,2021-06-26,26957,8861436
region,Yorkshire and The Humber,E12000003,2021-06-25,43132,8834479
region,Yorkshire and The Humber,E12000003,2021-06-24,62657,8791347
region,Yorkshire and The Humber,E12000003,2021-06-23,76825,8728690
region,Yorkshire and The Humber,E12000003,2021-06-22,41612,8651865
region,Yorkshire and The Humber,E12000003,2021-06-21,70165,8610253
region,Yorkshire and The Humber,E12000003,2021-06-20,83516,8540088
region,Yorkshire and The Humber,E12000003,2021-06-19,23435,8456572
region,Yorkshire and The Humber,E12000003,2021-06-18,37443,8433137
region,Yorkshire and The Humber,E12000003,2021-06-17,59738,8395694
region,Yorkshire and The Humber,E12000003,2021-06-16,71955,8335956
region,Yorkshire and The Humber,E12000003,2021-06-15,39734,8264001
region,Yorkshire and The Humber,E12000003,2021-06-14,69292,8224267
region,Yorkshire and The Humber,E12000003,2021-06-13,78780,8154975
region,Yorkshire and The Humber,E12000003,2021-06-12,21472,8076195
region,Yorkshire and The Humber,E12000003,2021-06-11,35190,8054723
region,Yorkshire and The Humber,E12000003,2021-06-10,55326,8019533
region,Yorkshire and The Humber,E12000003,2021-06-09,71757,7964207
region,Yorkshire and The Humber,E12000003,2021-06-08,36970,7892450
region,Yorkshire and The Humber,E12000003,2021-06-07,66995,7855480
region,Yorkshire and The Humber,E12000003,2021-06-06,96081,7788485
region,Yorkshire and The Humber,E12000003,2021-06-05,21658,7692404
region,Yorkshire and The Humber,E12000003,2021-06-04,33326,7670746
region,Yorkshire and The Humber,E12000003,2021-06-03,45835,7637420
region,Yorkshire and The Humber,E12000003,2021-06-02,52807,7591585
region,Yorkshire and The Humber,E12000003,2021-06-01,41474,7538778
region,Yorkshire and The Humber,E12000003,2021-05-31,43657,7497304
region,Yorkshire and The Humber,E12000003,2021-05-30,43205,7453647
region,Yorkshire and The Humber,E12000003,2021-05-29,20541,7410442
region,Yorkshire and The Humber,E12000003,2021-05-28,34848,7389901
region,Yorkshire and The Humber,E12000003,2021-05-27,57311,7355053
region,Yorkshire and The Humber,E12000003,2021-05-26,79827,7297742
region,Yorkshire and The Humber,E12000003,2021-05-25,41392,7217915
region,Yorkshire and The Humber,E12000003,2021-05-24,71456,7176523
region,Yorkshire and The Humber,E12000003,2021-05-23,94988,7105067
region,Yorkshire and The Humber,E12000003,2021-05-22,23037,7010079
region,Yorkshire and The Humber,E12000003,2021-05-21,37311,6987042
region,Yorkshire and The Humber,E12000003,2021-05-20,64332,6949731
region,Yorkshire and The Humber,E12000003,2021-05-19,84863,6885399
region,Yorkshire and The Humber,E12000003,2021-05-18,40943,6800536
region,Yorkshire and The Humber,E12000003,2021-05-17,75633,6759593
region,Yorkshire and The Humber,E12000003,2021-05-16,94830,6683960
region,Yorkshire and The Humber,E12000003,2021-05-15,19846,6589130
region,Yorkshire and The Humber,E12000003,2021-05-14,35154,6569284
region,Yorkshire and The Humber,E12000003,2021-05-13,63755,6534130
region,Yorkshire and The Humber,E12000003,2021-05-12,87213,6470375
region,Yorkshire and The Humber,E12000003,2021-05-11,39751,6383162
region,Yorkshire and The Humber,E12000003,2021-05-10,75437,6343411
region,Yorkshire and The Humber,E12000003,2021-05-09,110786,6267974
region,Yorkshire and The Humber,E12000003,2021-05-08,22464,6157188
region,Yorkshire and The Humber,E12000003,2021-05-07,38221,6134724
region,Yorkshire and The Humber,E12000003,2021-05-06,69508,6096503
region,Yorkshire and The Humber,E12000003,2021-05-05,91807,6026995
region,Yorkshire and The Humber,E12000003,2021-05-04,61908,5935188
region,Yorkshire and The Humber,E12000003,2021-05-03,91976,5873280
region,Yorkshire and The Humber,E12000003,2021-05-02,71091,5781304
region,Yorkshire and The Humber,E12000003,2021-05-01,22596,5710213
region,Yorkshire and The Humber,E12000003,2021-04-30,36711,5687617
region,Yorkshire and The Humber,E12000003,2021-04-29,71764,5650906
region,Yorkshire and The Humber,E12000003,2021-04-28,104295,5579142
region,Yorkshire and The Humber,E12000003,2021-04-27,44213,5474847
region,Yorkshire and The Humber,E12000003,2021-04-26,81801,5430634
region,Yorkshire and The Humber,E12000003,2021-04-25,125614,5348833
region,Yorkshire and The Humber,E12000003,2021-04-24,22494,5223219
region,Yorkshire and The Humber,E12000003,2021-04-23,38410,5200725
region,Yorkshire and The Humber,E12000003,2021-04-22,75397,5162315
region,Yorkshire and The Humber,E12000003,2021-04-21,108487,5086918
region,Yorkshire and The Humber,E12000003,2021-04-20,44569,4978431
region,Yorkshire and The Humber,E12000003,2021-04-19,83716,4933862
region,Yorkshire and The Humber,E12000003,2021-04-18,137834,4850146
region,Yorkshire and The Humber,E12000003,2021-04-17,21918,4712312
region,Yorkshire and The Humber,E12000003,2021-04-16,38614,4690394
region,Yorkshire and The Humber,E12000003,2021-04-15,72943,4651780
region,Yorkshire and The Humber,E12000003,2021-04-14,99403,4578837
region,Yorkshire and The Humber,E12000003,2021-04-13,41356,4479434
region,Yorkshire and The Humber,E12000003,2021-04-12,74803,4438078
region,Yorkshire and The Humber,E12000003,2021-04-11,130808,4363275
region,Yorkshire and The Humber,E12000003,2021-04-10,20293,4232467
region,Yorkshire and The Humber,E12000003,2021-04-09,34634,4212174
region,Yorkshire and The Humber,E12000003,2021-04-08,59743,4177540
region,Yorkshire and The Humber,E12000003,2021-04-07,76892,4117797
region,Yorkshire and The Humber,E12000003,2021-04-06,42806,4040905
region,Yorkshire and The Humber,E12000003,2021-04-05,59901,3998099
region,Yorkshire and The Humber,E12000003,2021-04-04,71281,3938198
region,Yorkshire and The Humber,E12000003,2021-04-03,17561,3866917
region,Yorkshire and The Humber,E12000003,2021-04-02,27172,3849356
region,Yorkshire and The Humber,E12000003,2021-04-01,62555,3822184
region,Yorkshire and The Humber,E12000003,2021-03-31,89890,3759629
region,Yorkshire and The Humber,E12000003,2021-03-30,24612,3669739
region,Yorkshire and The Humber,E12000003,2021-03-29,25799,3645127
region,Yorkshire and The Humber,E12000003,2021-03-28,171897,3619328
region,Yorkshire and The Humber,E12000003,2021-03-27,17791,3447431
region,Yorkshire and The Humber,E12000003,2021-03-26,40296,3429640
region,Yorkshire and The Humber,E12000003,2021-03-25,84122,3389344
region,Yorkshire and The Humber,E12000003,2021-03-24,145461,3305222
region,Yorkshire and The Humber,E12000003,2021-03-23,48442,3159761
region,Yorkshire and The Humber,E12000003,2021-03-22,94017,3111319
region,Yorkshire and The Humber,E12000003,2021-03-21,165160,3017302
region,Yorkshire and The Humber,E12000003,2021-03-20,18069,2852142
region,Yorkshire and The Humber,E12000003,2021-03-19,56159,2834073
region,Yorkshire and The Humber,E12000003,2021-03-18,104284,2777914
region,Yorkshire and The Humber,E12000003,2021-03-17,125653,2673630
region,Yorkshire and The Humber,E12000003,2021-03-16,94188,2547977
region,Yorkshire and The Humber,E12000003,2021-03-15,138320,2453789
region,Yorkshire and The Humber,E12000003,2021-03-14,76548,2315469
region,Yorkshire and The Humber,E12000003,2021-03-13,14844,2238921
region,Yorkshire and The Humber,E12000003,2021-03-12,108361,2224077
region,Yorkshire and The Humber,E12000003,2021-03-11,126564,2115716
region,Yorkshire and The Humber,E12000003,2021-03-10,119173,1989152
region,Yorkshire and The Humber,E12000003,2021-03-09,107266,1869979
region,Yorkshire and The Humber,E12000003,2021-03-08,135024,1762713
region,Yorkshire and The Humber,E12000003,2021-03-07,59839,1627689
region,Yorkshire and The Humber,E12000003,2021-03-06,12931,1567850
region,Yorkshire and The Humber,E12000003,2021-03-05,66286,1554919
region,Yorkshire and The Humber,E12000003,2021-03-04,71977,1488633
region,Yorkshire and The Humber,E12000003,2021-03-03,53289,1416656
region,Yorkshire and The Humber,E12000003,2021-03-02,37048,1363367
region,Yorkshire and The Humber,E12000003,2021-03-01,55129,1326319
region,Yorkshire and The Humber,E12000003,2021-02-28,34573,1271190
region,Yorkshire and The Humber,E12000003,2021-02-27,8967,1236617
region,Yorkshire and The Humber,E12000003,2021-02-26,27643,1227650
region,Yorkshire and The Humber,E12000003,2021-02-25,38762,1200007
region,Yorkshire and The Humber,E12000003,2021-02-24,41788,1161245
region,Yorkshire and The Humber,E12000003,2021-02-23,28659,1119457
region,Yorkshire and The Humber,E12000003,2021-02-22,47877,1090798
region,Yorkshire and The Humber,E12000003,2021-02-21,35918,1042921
region,Yorkshire and The Humber,E12000003,2021-02-20,8768,1007003
region,Yorkshire and The Humber,E12000003,2021-02-19,18566,998235
region,Yorkshire and The Humber,E12000003,2021-02-18,21259,979669
region,Yorkshire and The Humber,E12000003,2021-02-17,21867,958410
region,Yorkshire and The Humber,E12000003,2021-02-16,18036,936543
region,Yorkshire and The Humber,E12000003,2021-02-15,25797,918507
region,Yorkshire and The Humber,E12000003,2021-02-14,19006,892710
region,Yorkshire and The Humber,E12000003,2021-02-13,7835,873704
region,Yorkshire and The Humber,E12000003,2021-02-12,24072,865869
region,Yorkshire and The Humber,E12000003,2021-02-11,36449,841797
region,Yorkshire and The Humber,E12000003,2021-02-10,41189,805348
region,Yorkshire and The Humber,E12000003,2021-02-09,25215,764159
region,Yorkshire and The Humber,E12000003,2021-02-08,42996,738944
region,Yorkshire and The Humber,E12000003,2021-02-07,35315,695948
region,Yorkshire and The Humber,E12000003,2021-02-06,8136,660633
region,Yorkshire and The Humber,E12000003,2021-02-05,25358,652497
region,Yorkshire and The Humber,E12000003,2021-02-04,37023,627139
region,Yorkshire and The Humber,E12000003,2021-02-03,43708,590116
region,Yorkshire and The Humber,E12000003,2021-02-02,17906,546408
region,Yorkshire and The Humber,E12000003,2021-02-01,43528,528502
region,Yorkshire and The Humber,E12000003,2021-01-31,33813,484974
region,Yorkshire and The Humber,E12000003,2021-01-30,7561,451161
region,Yorkshire and The Humber,E12000003,2021-01-29,22630,443600
region,Yorkshire and The Humber,E12000003,2021-01-28,31189,420970
region,Yorkshire and The Humber,E12000003,2021-01-27,33542,389781
region,Yorkshire and The Humber,E12000003,2021-01-26,23021,356239
region,Yorkshire and The Humber,E12000003,2021-01-25,33678,333218
region,Yorkshire and The Humber,E12000003,2021-01-24,12443,299540
region,Yorkshire and The Humber,E12000003,2021-01-23,5874,287097
region,Yorkshire and The Humber,E12000003,2021-01-22,17145,281223
region,Yorkshire and The Humber,E12000003,2021-01-21,18163,264078
region,Yorkshire and The Humber,E12000003,2021-01-20,17455,245915
region,Yorkshire and The Humber,E12000003,2021-01-19,18070,228460
region,Yorkshire and The Humber,E12000003,2021-01-18,24684,210390
region,Yorkshire and The Humber,E12000003,2021-01-17,6161,185706
region,Yorkshire and The Humber,E12000003,2021-01-16,4325,179545
region,Yorkshire and The Humber,E12000003,2021-01-15,8684,175220
region,Yorkshire and The Humber,E12000003,2021-01-14,9035,166536
region,Yorkshire and The Humber,E12000003,2021-01-13,11597,157501
region,Yorkshire and The Humber,E12000003,2021-01-12,12449,145904
region,Yorkshire and The Humber,E12000003,2021-01-11,15727,133455
region,Yorkshire and The Humber,E12000003,2021-01-10,4008,117728
region,Yorkshire and The Humber,E12000003,2021-01-09,3279,113720
region,Yorkshire and The Humber,E12000003,2021-01-08,8803,110441
region,Yorkshire and The Humber,E12000003,2021-01-07,8135,101638
region,Yorkshire and The Humber,E12000003,2021-01-06,7037,93503
region,Yorkshire and The Humber,E12000003,2021-01-05,6522,86466
region,Yorkshire and The Humber,E12000003,2021-01-04,7296,79944
region,Yorkshire and The Humber,E12000003,2021-01-03,2995,72648
region,Yorkshire and The Humber,E12000003,2021-01-02,2294,69653
region,Yorkshire and The Humber,E12000003,2021-01-01,1272,67359
region,Yorkshire and The Humber,E12000003,2020-12-31,2919,66087
region,Yorkshire and The Humber,E12000003,2020-12-30,3286,63168
region,Yorkshire and The Humber,E12000003,2020-12-29,2966,59882
region,Yorkshire and The Humber,E12000003,2020-12-28,1890,56916
region,Yorkshire and The Humber,E12000003,2020-12-27,716,55026
region,Yorkshire and The Humber,E12000003,2020-12-26,463,54310
region,Yorkshire and The Humber,E12000003,2020-12-25,380,53847
region,Yorkshire and The Humber,E12000003,2020-12-24,1223,53467
region,Yorkshire and The Humber,E12000003,2020-12-23,4490,52244
region,Yorkshire and The Humber,E12000003,2020-12-22,3250,47754
region,Yorkshire and The Humber,E12000003,2020-12-21,2671,44504
region,Yorkshire and The Humber,E12000003,2020-12-20,1857,41833
region,Yorkshire and The Humber,E12000003,2020-12-19,1495,39976
region,Yorkshire and The Humber,E12000003,2020-12-18,1673,38481
region,Yorkshire and The Humber,E12000003,2020-12-17,688,36808
region,Yorkshire and The Humber,E12000003,2020-12-16,489,36120
region,Yorkshire and The Humber,E12000003,2020-12-15,419,35631
region,Yorkshire and The Humber,E12000003,2020-12-14,1335,35212
region,Yorkshire and The Humber,E12000003,2020-12-13,303,33877
region,Yorkshire and The Humber,E12000003,2020-12-12,171,33574
region,Yorkshire and The Humber,E12000003,2020-12-11,1644,33403
region,Yorkshire and The Humber,E12000003,2020-12-10,894,31759
region,Yorkshire and The Humber,E12000003,2020-12-09,4530,30865
region,Yorkshire and The Humber,E12000003,2020-12-08,3146,26335
region,Yorkshire and The Humber,E12000003,2020-12-07,2720,23189
region,Yorkshire and The Humber,E12000003,2020-12-06,2464,20469
region,Yorkshire and The Humber,E12000003,2020-12-05,2590,18005
region,Yorkshire and The Humber,E12000003,2020-12-04,3848,15415
region,Yorkshire and The Humber,E12000003,2020-12-03,3405,11567
region,Yorkshire and The Humber,E12000003,2020-12-02,2407,8162
region,Yorkshire and The Humber,E12000003,2020-12-01,2259,5755
region,Yorkshire and The Humber,E12000003,2020-11-30,2617,3496
region,Yorkshire and The Humber,E12000003,2020-11-29,48,879
region,Yorkshire and The Humber,E12000003,2020-11-28,38,831
region,Yorkshire and The Humber,E12000003,2020-11-27,240,793
region,Yorkshire and The Humber,E12000003,2020-11-26,117,553
region,Yorkshire and The Humber,E12000003,2020-11-25,40,436
region,Yorkshire and The Humber,E12000003,2020-11-24,41,396
region,Yorkshire and The Humber,E12000003,2020-11-23,40,355
region,Yorkshire and The Humber,E12000003,2020-11-22,5,315
region,Yorkshire and The Humber,E12000003,2020-11-21,11,310
region,Yorkshire and The Humber,E12000003,2020-11-20,24,299
region,Yorkshire and The Humber,E12000003,2020-11-19,9,275
region,Yorkshire and The Humber,E12000003,2020-11-18,15,266
region,Yorkshire and The Humber,E12000003,2020-11-17,25,251
region,Yorkshire and The Humber,E12000003,2020-11-16,12,226
region,Yorkshire and The Humber,E12000003,2020-11-15,7,214
region,Yorkshire and The Humber,E12000003,2020-11-14,7,207
region,Yorkshire and The Humber,E12000003,2020-11-13,22,200
region,Yorkshire and The Humber,E12000003,2020-11-12,24,178
region,Yorkshire and The Humber,E12000003,2020-11-11,18,154
region,Yorkshire and The Humber,E12000003,2020-11-10,35,136
region,Yorkshire and The Humber,E12000003,2020-11-09,24,101
region,Yorkshire and The Humber,E12000003,2020-11-08,17,77
region,Yorkshire and The Humber,E12000003,2020-11-07,29,60
region,Yorkshire and The Humber,E12000003,2020-11-06,28,31
region,Yorkshire and The Humber,E12000003,2020-11-05,0,2
region,Yorkshire and The Humber,E12000003,2020-11-04,0,2
region,Yorkshire and The Humber,E12000003,2020-11-03,0,2
region,Yorkshire and The Humber,E12000003,2020-11-02,0,2
region,Yorkshire and The Humber,E12000003,2020-11-01,0,2
region,Yorkshire and The Humber,E12000003,2020-10-31,0,2
region,Yorkshire and The Humber,E12000003,2020-10-30,0,2
region,Yorkshire and The Humber,E12000003,2020-10-29,0,2
region,Yorkshire and The Humber,E12000003,2020-10-28,0,2
region,Yorkshire and The Humber,E12000003,2020-10-27,0,2
region,Yorkshire and The Humber,E12000003,2020-10-26,1,2
